"","Date","Colony","Ant.ID","Pair.ID","Ant.In.Pair","Time","Junction","Entered.From","Exited.Toward","Action..inspect.ignore.","Inspect","Num.Inspections","Node.From","Node.To","Direction.From","Width.From","Rel.Width.From","Direction.To","Width.To","Rel.Width.To","Turn.Type","Turn.Width","Turn.Trunk"
"66","6/21/21","21-SP3","1B","1","B",NA,"22",NA,NA,NA,FALSE,1,"222","20","right",0.34,"wide","main",0.34,"wide","L","W","to.trunk"
"67","6/21/21","21-SP3","1B","1","B",NA,"20",NA,NA,NA,FALSE,1,"22","2","right",0.34,"narrow","main",0.45,"wide","L","=","to.trunk"
"68","6/21/21","21-SP3","1B","1","B",NA,"2",NA,NA,NA,FALSE,1,"20","0","right",0.45,"narrow","main",0.6,"wide","L","=","to.trunk"
"69","6/21/21","21-SP3","1B","1","B",NA,"0",NA,NA,NA,FALSE,1,"2","-1","left",0.6,"wide","right",0.45,"narrow","L","N","away.from.trunk"
"70","6/22/21","21-SP3","2A","2","A","16:10","0",NA,"1",NA,FALSE,0,"-1","1","right",0.45,"narrow","main",0.6,"wide","L","=","to.trunk"
"71","6/22/21","21-SP3","2A","2","A",NA,"0","1",NA,NA,FALSE,0,"1","2","main",0.6,"wide","left",0.6,"wide","L","W","away.from.trunk"
"72","6/22/21","21-SP3","2A","2","A",NA,"2",NA,NA,NA,FALSE,0,"0","20","main",0.6,"wide","right",0.45,"narrow","R","N","away.from.trunk"
"73","6/22/21","21-SP3","2A","2","A",NA,"20",NA,NA,NA,FALSE,0,"2","22","main",0.45,"wide","right",0.34,"narrow","R","N","away.from.trunk"
"74","6/22/21","21-SP3","2A","2","A",NA,"22",NA,NA,NA,FALSE,0,"20","222","main",0.34,"wide","right",0.34,"wide","R","W","away.from.trunk"
"75","6/22/21","21-SP3","2A","2","A",NA,"222",NA,NA,NA,FALSE,0,"22","2222","main",0.34,"wide","right",0.34,"wide","R","W","away.from.trunk"
"76","6/22/21","21-SP3","2A","2","A",NA,"222",NA,NA,NA,FALSE,1,"2222","2221","right",0.34,"wide","left",0.25,"narrow","R","N","away.from.trunk"
"77","6/22/21","21-SP3","2A","2","A",NA,"222",NA,NA,NA,FALSE,1,"2221","22","left",0.25,"narrow","main",0.34,"wide","R","=","to.trunk"
"78","6/22/21","21-SP3","2A","2","A",NA,"22",NA,NA,NA,FALSE,1,"222","20","right",0.34,"wide","main",0.34,"wide","L","W","to.trunk"
"79","6/22/21","21-SP3","2A","2","A",NA,"20",NA,NA,NA,FALSE,1,"22","21","right",0.34,"narrow","left",0.45,"wide","R","=","away.from.trunk"
"80","6/22/21","21-SP3","2A","2","A",NA,"21",NA,NA,NA,FALSE,1,"20","211","main",0.45,"wide","left",0.34,"narrow","L","N","away.from.trunk"
"81","6/22/21","21-SP3","2A","2","A",NA,"211",NA,NA,NA,FALSE,1,"21","2112","main",0.34,"wide","right",0.25,"narrow","R","N","away.from.trunk"
"82","6/22/21","21-SP3","2A","2","A",NA,"211",NA,NA,NA,FALSE,2,"2112","2111","right",0.25,"narrow","left",0.34,"wide","R","=","away.from.trunk"
"83","6/22/21","21-SP3","2A","2","A",NA,"211",NA,NA,NA,FALSE,3,"2111","21","left",0.34,"wide","main",0.34,"wide","R","W","to.trunk"
"84","6/22/21","21-SP3","2A","2","A",NA,"21",NA,NA,NA,FALSE,3,"211","20","left",0.34,"narrow","main",0.45,"wide","R","=","to.trunk"
"85","6/22/21","21-SP3","2A","2","A",NA,"20",NA,NA,NA,FALSE,3,"21","2","left",0.45,"wide","main",0.45,"wide","R","W","to.trunk"
"86","6/22/21","21-SP3","2A","2","A",NA,"2",NA,NA,NA,FALSE,3,"20","0","right",0.45,"narrow","main",0.6,"wide","L","=","to.trunk"
"87","6/22/21","21-SP3","2A","2","A",NA,"0",NA,NA,NA,FALSE,3,"2","1","left",0.6,"wide","main",0.6,"wide","R","W","to.trunk"
"88","6/22/21","21-SP3","2A","2","A",NA,"1",NA,NA,NA,FALSE,3,"0","10","right",0.6,"wide","left",0.45,"narrow","R","N","away.from.trunk"
"89","6/22/21","21-SP3","2A","2","A",NA,"10",NA,NA,NA,FALSE,3,"1","12","main",0.45,"wide","right",0.45,"wide","R","W","away.from.trunk"
"90","6/22/21","21-SP3","2A","2","A",NA,"12",NA,NA,NA,FALSE,3,"10","122","main",0.45,"wide","right",0.45,"wide","R","W","away.from.trunk"
"91","6/22/21","21-SP3","2A","2","A",NA,"122",NA,NA,NA,FALSE,3,"12","1222","main",0.45,"wide","right",0.34,"narrow","R","N","away.from.trunk"
"92","6/22/21","21-SP3","2A","2","A",NA,"122",NA,NA,NA,FALSE,3,"1222","12","right",0.34,"narrow","main",0.45,"wide","L","=","to.trunk"
"93","6/22/21","21-SP3","2A","2","A",NA,"12",NA,NA,NA,FALSE,3,"122","121","right",0.45,"wide","left",0.34,"narrow","R","N","away.from.trunk"
"94","6/22/21","21-SP3","2A","2","A",NA,"121",NA,NA,NA,FALSE,3,"12","1212","main",0.34,"wide","right",0.25,"narrow","R","N","away.from.trunk"
"95","6/22/21","21-SP3","2A","2","A",NA,"121",NA,"1211",NA,FALSE,3,"1212","1211","right",0.25,"narrow","left",0.34,"wide","R","=","away.from.trunk"
"96","6/22/21","21-SP3","2A","2","A",NA,"121","1211",NA,NA,FALSE,3,"1211","12","left",0.34,"wide","main",0.34,"wide","R","W","to.trunk"
"97","6/22/21","21-SP3","2A","2","A",NA,"12",NA,NA,NA,FALSE,3,"121","10","left",0.34,"narrow","main",0.45,"wide","R","=","to.trunk"
"98","6/22/21","21-SP3","2A","2","A",NA,"10",NA,NA,NA,FALSE,3,"12","11","right",0.45,"wide","left",0.34,"narrow","R","N","away.from.trunk"
"99","6/22/21","21-SP3","2A","2","A",NA,"11",NA,NA,NA,FALSE,3,"10","112","main",0.34,"wide","right",0.34,"wide","R","W","away.from.trunk"
"100","6/22/21","21-SP3","2A","2","A",NA,"112",NA,NA,NA,FALSE,3,"11","1122","main",0.34,"wide","right",0.25,"narrow","R","N","away.from.trunk"
"101","6/22/21","21-SP3","2A","2","A","16:17","112",NA,NA,NA,FALSE,4,"1122","11","right",0.25,"narrow","main",0.34,"wide","L","=","to.trunk"
"102","6/22/21","21-SP3","2A","2","A",NA,"11",NA,NA,NA,FALSE,4,"112","10","right",0.34,"wide","main",0.34,"wide","L","W","to.trunk"
