"Junction","Direction.From","Width.From","Node.From","Rel.Width.From","Direction.To","Width.To","Node.To","Rel.Width.To","Turn.Type","Turn.Width","Turn.Trunk","Junction.Handedness","Turn.Angle","isUTurn","isSharpTurn","sharpIsLeft","Angle.From","Sharp.Turn.Prob","U.Turn.Prob","Turn.Probability"
"11","main",0.34,"10","wide","main",0.34,"10","wide","U",NA,NA,"LH",NA,TRUE,NA,TRUE,"main",0.438076493849876,0.247988620209972,0.247988620209972
"11","main",0.34,"10","wide","left",0.25,"111","narrow","L","N","away.from.trunk","LH","sharp",FALSE,TRUE,TRUE,"main",0.438076493849876,0.247988620209972,0.329438508593623
"11","main",0.34,"10","wide","right",0.34,"112","wide","R","W","away.from.trunk","LH","shallow",FALSE,FALSE,TRUE,"main",0.438076493849876,0.247988620209972,0.422572871196405
"11","left",0.25,"111","narrow","main",0.34,"10","wide","R","=","to.trunk","LH","shallow",FALSE,FALSE,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.491177628443268
"11","left",0.25,"111","narrow","left",0.25,"111","narrow","U",NA,NA,"LH",NA,TRUE,NA,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.0805532756482322
"11","left",0.25,"111","narrow","right",0.34,"112","wide","L","=","away.from.trunk","LH","sharp",FALSE,TRUE,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.4282690959085
"11","right",0.34,"112","wide","main",0.34,"10","wide","L","W","to.trunk","LH","shallow",FALSE,FALSE,FALSE,"shallow",0.299331596979977,0.159500659355306,0.588911330748901
"11","right",0.34,"112","wide","left",0.25,"111","narrow","R","N","away.from.trunk","LH","sharp",FALSE,TRUE,FALSE,"shallow",0.299331596979977,0.159500659355306,0.251588009895794
"11","right",0.34,"112","wide","right",0.34,"112","wide","U",NA,NA,"LH",NA,TRUE,NA,FALSE,"shallow",0.299331596979977,0.159500659355306,0.159500659355306
"12","main",0.45,"10","wide","main",0.45,"10","wide","U",NA,NA,"LH",NA,TRUE,NA,TRUE,"main",0.438076493849876,0.247988620209972,0.247988620209972
"12","main",0.45,"10","wide","left",0.34,"121","narrow","L","N","away.from.trunk","LH","sharp",FALSE,TRUE,TRUE,"main",0.438076493849876,0.247988620209972,0.329438508593623
"12","main",0.45,"10","wide","right",0.45,"122","wide","R","W","away.from.trunk","LH","shallow",FALSE,FALSE,TRUE,"main",0.438076493849876,0.247988620209972,0.422572871196405
"12","left",0.34,"121","narrow","main",0.45,"10","wide","R","=","to.trunk","LH","shallow",FALSE,FALSE,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.491177628443268
"12","left",0.34,"121","narrow","left",0.34,"121","narrow","U",NA,NA,"LH",NA,TRUE,NA,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.0805532756482322
"12","left",0.34,"121","narrow","right",0.45,"122","wide","L","=","away.from.trunk","LH","sharp",FALSE,TRUE,TRUE,"sharp",0.465790006713483,0.0805532756482322,0.4282690959085
